,Question,Entities,Classes
55,When did Dracula's creator die?,"[[('http://dbpedia.org/resource/Dracula', 0.007990505546331406), ('http://dbpedia.org/resource/Dracula_(Marvel_Comics)', 0.007990184240043163), ('http://dbpedia.org/resource/Dracula_(Castlevania)', 0.007990174926817417), ('http://dbpedia.org/resource/Count_Dracula', 0.007990174926817417), ('http://dbpedia.org/resource/Don_Dracula', 0.007990093901753426)]]",[]
56,When did Finland join the EU?,"[[('http://dbpedia.org/resource/Finland', 0.043936360627412796), ('http://dbpedia.org/resource/Grand_Duchy_of_Finland', 0.04393043369054794), ('http://dbpedia.org/resource/History_of_Finland', 0.043930333107709885), ('http://dbpedia.org/resource/Lapland_(Finland)', 0.043930113315582275), ('http://dbpedia.org/resource/Gulf_of_Finland', 0.04393003508448601)]]",[]
57,When did Michael Jackson die?,"[[('http://dbpedia.org/resource/Michael_Jackson', 0.007946895435452461), ('http://dbpedia.org/resource/Michael_Jackson_(actor)', 0.007946415804326534), ('http://dbpedia.org/resource/Michael_Jackson_(basketball)', 0.00794638879597187), ('http://dbpedia.org/resource/Michael_J._Jackson', 0.007946358062326908), ('http://dbpedia.org/resource/Michael_P._Jackson', 0.007946338504552841)]]",[]
58,When did Muhammad die?,"[[('http://dbpedia.org/resource/Muhammad', 0.008858667686581612), ('http://dbpedia.org/resource/Muhammad_Ahmad', 0.008857905864715576), ('http://dbpedia.org/resource/Muhammad_in_Islam', 0.008857893757522106), ('http://dbpedia.org/resource/Ali_Mahdi_Muhammad', 0.008857864886522293), ('http://dbpedia.org/resource/Muhammad_al-Baqir', 0.008857859298586845)]]",[]
59,When did Paraguay proclaim its independence?,"[[('http://dbpedia.org/resource/Paraguay', 0.01576010137796402), ('http://dbpedia.org/resource/History_of_Paraguay', 0.015758220106363297), ('http://dbpedia.org/resource/Germans_in_Paraguay', 0.01575808972120285), ('http://dbpedia.org/resource/Paraguay_national_football_team', 0.015758074820041656), ('http://dbpedia.org/resource/Politics_of_Paraguay', 0.015758007764816284)]]",[]
60,When did princess Diana die?,"[[('http://dbpedia.org/resource/Diana,_Princess_of_Wales', 0.00841204822063446), ('http://dbpedia.org/resource/Princess_Charlotte_of_Cambridge', 0.008411225862801075), ('http://dbpedia.org/resource/Diana_Beauclerk,_Duchess_of_St_Albans', 0.008411207236349583), ('http://dbpedia.org/resource/Cynthia_Spencer,_Countess_Spencer', 0.008411145769059658), ('http://dbpedia.org/resource/Kate_Snell', 0.0049850973300635815)]]",[]
61,When did the Boston Tea Party take place?,"[[('http://dbpedia.org/resource/Boston_Tea_Party', 0.007700495421886444), ('http://dbpedia.org/resource/Boston_Tea_Party_(concert_venue)', 0.007700138725340366), ('http://dbpedia.org/resource/Boston_Tea_Party_(political_party)', 0.007699962239712477), ('http://dbpedia.org/resource/Philadelphia_Tea_Party', 0.007699916604906321), ('http://dbpedia.org/resource/Boston_Tea_Party_(café_chain)', 0.007699910085648298)]]",[]
62,When is the movie Worst Case Scenario going to be in cinemas in the Netherlands?,"[[('http://dbpedia.org/resource/Worst-case_scenario', 0.024765554815530777), ('http://dbpedia.org/resource/Worst_Case_Scenario_(film)', 0.024764465168118477), ('http://dbpedia.org/resource/Worst_Case_Scenario_(song)', 0.024763409048318863), ('http://dbpedia.org/resource/Worst_Case_Scenario_(Star_Trek:_Voyager)', 0.024763332679867744), ('http://dbpedia.org/resource/Worst_Case_Scenario_(album)', 0.024763045832514763)]]",[]
63,When was Carlo Giuliani shot?,"[[('http://dbpedia.org/resource/Carlo_Giuliani,_Boy', 0.026331789791584015), ('http://dbpedia.org/resource/Death_of_Carlo_Giuliani', 0.026330800727009773), ('http://dbpedia.org/resource/Carlo_Giuliano', 0.026330552995204926), ('http://dbpedia.org/resource/Carlo_Maria_Giulini', 0.026330191642045975), ('http://dbpedia.org/resource/Carlo_Giuliani_(bishop)', 0.026330161839723587)]]",[]
64,When was Jack Wolfskin founded?,"[[('http://dbpedia.org/resource/Jack_Wolfskin', 0.09034597128629684), ('http://dbpedia.org/resource/The_Girl_in_419', 0.05400259792804718), ('http://dbpedia.org/resource/Madison_Square_Garden_(film)', 0.053540103137493134), ('http://dbpedia.org/resource/Rodney_Gnat', 0.0535382404923439), ('http://dbpedia.org/resource/Melody_Harris-Jensbach', 0.05353683978319168)]]",[]
65,When was the De Beers company founded?,"[[('http://dbpedia.org/resource/De_Beers', 0.008714832365512848), ('http://dbpedia.org/resource/De_Beers_antitrust_litigation', 0.008713433519005775), ('http://dbpedia.org/resource/Sue_de_Beer', 0.008713409304618835), ('http://dbpedia.org/resource/Gavin_de_Beer', 0.008713241666555405), ('http://dbpedia.org/resource/The_berenstain_bears_visit_the_dentist', 0.005164645612239838)]]",[]
66,Where did Abraham Lincoln die?,"[[('http://dbpedia.org/resource/Abraham_Lincoln', 0.008072685450315475), ('http://dbpedia.org/resource/Abraham_Lincoln_(captain)', 0.00807204283773899), ('http://dbpedia.org/resource/Abraham_Lincoln_Lewis', 0.008071751333773136), ('http://dbpedia.org/resource/Presidency_of_Abraham_Lincoln', 0.008071746677160263), ('http://dbpedia.org/resource/Assassination_of_Abraham_Lincoln', 0.008071664720773697)]]",[]
67,Where does Piccadilly start?,"[[('http://dbpedia.org/resource/Piccadilly,_Warwickshire', 0.0074991583824157715), ('http://dbpedia.org/resource/Piccadilly', 0.00749915512278676), ('http://dbpedia.org/resource/Piccadilly_line', 0.007499068509787321), ('http://dbpedia.org/resource/Piccadilly,_South_Australia', 0.007499059662222862), ('http://dbpedia.org/resource/Piccadilly_College,_Manchester', 0.007498965598642826)]]",[]
68,Where is Fort Knox located?,"[[('http://dbpedia.org/resource/Fort_Knox', 0.007921606302261353), ('http://dbpedia.org/resource/Fort_Knox_(Maine)', 0.007921482436358929), ('http://dbpedia.org/resource/Fort_Knox_High_School', 0.00792075227946043), ('http://dbpedia.org/resource/Fort_Knox_(comic_strip)', 0.007920726202428341), ('http://dbpedia.org/resource/Fort_Knox_Gold_Mine', 0.007920711301267147)]]",[]
69,Which American presidents were in office during the Vietnam War?,"[[('http://dbpedia.org/resource/Vietnam_War', 0.02462935820221901), ('http://dbpedia.org/resource/Cambodian–Vietnamese_War', 0.02462683990597725), ('http://dbpedia.org/resource/Canada_and_the_Vietnam_War', 0.024626145139336586), ('http://dbpedia.org/resource/Role_of_the_United_States_in_the_Vietnam_War', 0.02462613582611084), ('http://dbpedia.org/resource/Sino-Vietnamese_War', 0.0246259868144989)]]",[]
70,Which European countries have a constitutional monarchy?,"[[('http://dbpedia.org/resource/Constitutional_monarchy', 0.006785094738006592), ('http://dbpedia.org/resource/Monarchy', 0.006784358993172646), ('http://dbpedia.org/resource/Absolute_monarchy', 0.006784225348383188), ('http://dbpedia.org/resource/Monarchy_of_the_United_Kingdom', 0.006784189026802778), ('http://dbpedia.org/resource/Monarchy_of_the_Netherlands', 0.006784145720303059)]]",[]
71,Which U.S. state has the highest population density?,"[[('http://dbpedia.org/resource/United_States', 0.018545152619481087), ('http://dbpedia.org/resource/U.S._state', 0.018544061109423637), ('http://dbpedia.org/resource/Georgia_(U.S._state)', 0.01854304037988186), ('http://dbpedia.org/resource/Republican_Party_(U.S.)', 0.010987898334860802), ('http://dbpedia.org/resource/Special_routes_of_U.S._Route_6', 0.010987634770572186)]]",[]
72,Which artists were born on the same date as Rachel Stevens?,"[[('http://dbpedia.org/resource/Rachel_Stevens', 0.022613847628235817), ('http://dbpedia.org/resource/Silent_Spring_(composition)', 0.013403299264609814), ('http://dbpedia.org/resource/Eurovision_(film)', 0.01340328250080347), ('http://dbpedia.org/resource/The_Suicide_Club_(2000_film)', 0.013403116725385189), ('http://dbpedia.org/resource/Center_Stage:_Turn_It_Up', 0.013402880169451237)]]",[]
73,Which books were written by Danielle Steel?,"[[('http://dbpedia.org/resource/Danielle_Steel', 0.01458488218486309), (""http://dbpedia.org/resource/Danielle_Steel's_Star"", 0.01458203699439764), ('http://dbpedia.org/resource/One_Day_at_a_Time_(novel)', 0.014581779018044472), ('http://dbpedia.org/resource/No_Greater_Love_(novel)', 0.014581584371626377), ('http://dbpedia.org/resource/Now_and_Forever_(1983_film)', 0.008693712763488293)]]",[]
74,Which bridges are of the same type as the Manhattan Bridge?,"[[('http://dbpedia.org/resource/Manhattan_Bridge', 0.007052101194858551), ('http://dbpedia.org/resource/Brooklyn_Bridge', 0.00705154612660408), ('http://dbpedia.org/resource/George_Washington_Bridge', 0.0070513226091861725), ('http://dbpedia.org/resource/Williamsburg_Bridge', 0.007051300723105669), ('http://dbpedia.org/resource/Macombs_Dam_Bridge', 0.007051280699670315)]]",[]
75,Which companies work in the aerospace industry as well as in medicine?,"[[('http://dbpedia.org/resource/Aerospace', 0.016104398295283318), ('http://dbpedia.org/resource/Aerospace_engineering', 0.016103651374578476), ('http://dbpedia.org/resource/Aerospace_manufacturer', 0.016102999448776245), ('http://dbpedia.org/resource/Outline_of_aerospace', 0.016102859750390053), ('http://dbpedia.org/resource/The_Aerospace_Corporation', 0.016102466732263565)], [('http://dbpedia.org/resource/Medicine', 0.014904765412211418), ('http://dbpedia.org/resource/Doctor_of_Medicine', 0.014903399161994457), ('http://dbpedia.org/resource/Intensive_care_medicine', 0.014903172850608826), ('http://dbpedia.org/resource/Veterinary_medicine', 0.014903147704899311), ('http://dbpedia.org/resource/Emergency_medicine', 0.014903143048286438)]]",[]
76,Which countries are connected by the Rhine?,"[[('http://dbpedia.org/resource/Rhine', 0.01572464406490326), ('http://dbpedia.org/resource/Lower_Rhine', 0.01572342962026596), ('http://dbpedia.org/resource/Middle_Rhine', 0.015723276883363724), ('http://dbpedia.org/resource/Upper_Rhine', 0.01572311297059059), ('http://dbpedia.org/resource/Rhine_Railway_(Baden)', 0.01572292484343052)]]",[]
77,Which countries in the European Union adopted the Euro?,"[[('http://dbpedia.org/resource/Euro', 0.016464652493596077), ('http://dbpedia.org/resource/Euro_coins', 0.016463037580251694), ('http://dbpedia.org/resource/Euro_Plus_Pact', 0.016462886705994606), ('http://dbpedia.org/resource/Euro_sign', 0.016462793573737144), ('http://dbpedia.org/resource/1_euro_coin', 0.016462771221995354)]]",[]
78,Which country was Bill Gates born in?,"[[('http://dbpedia.org/resource/Bill_Gates', 0.008452791720628738), ('http://dbpedia.org/resource/Bill_Gates_(frontiersman)', 0.008451908826828003), ('http://dbpedia.org/resource/Melinda_Gates', 0.008451547473669052), ('http://dbpedia.org/resource/Bill_&_Melinda_Gates_Foundation', 0.008451193571090698), (""http://dbpedia.org/resource/Bill_Gates'_house"", 0.008451159112155437)]]",[]
79,Which instruments does Cat Stevens play?,"[[('http://dbpedia.org/resource/Cat_Stevens', 0.008340203203260899), ('http://dbpedia.org/resource/Greer_Stevens', 0.008339796215295792), ('http://dbpedia.org/resource/Eileen_Stevens', 0.00833956804126501), ('http://dbpedia.org/resource/Numbers_(Cat_Stevens_album)', 0.008339500054717064), ('http://dbpedia.org/resource/The_Very_Best_of_Cat_Stevens', 0.008339385502040386)]]",[]
80,Which languages are spoken in Estonia?,"[[('http://dbpedia.org/resource/Estonia', 0.032401829957962036), ('http://dbpedia.org/resource/Estonian_language', 0.03239789232611656), ('http://dbpedia.org/resource/Estonians', 0.032397083938121796), ('http://dbpedia.org/resource/History_of_Estonia', 0.03239675238728523), ('http://dbpedia.org/resource/Governorate_of_Estonia', 0.03239590674638748)]]",[]
81,Which movies did Kurosawa direct?,"[[('http://dbpedia.org/resource/Akira_Kurosawa', 0.007335932459682226), ('http://dbpedia.org/resource/Kiyoshi_Kurosawa', 0.007335206959396601), ('http://dbpedia.org/resource/Tomoyo_Kurosawa', 0.007335121743381023), ('http://dbpedia.org/resource/Kurosawa_Film_Studio', 0.007335097528994083), ('http://dbpedia.org/resource/Motoharu_Kurosawa', 0.007334998808801174)]]",[]
82,Which museum exhibits The Scream by Munch?,"[[('http://dbpedia.org/resource/The_Scream', 0.007702116388827562), ('http://dbpedia.org/resource/Wilhelm_scream', 0.007701465860009193), ('http://dbpedia.org/resource/Scream_(1996_film)', 0.007701449561864138), ('http://dbpedia.org/resource/The_Scream_(album)', 0.0077014463022351265), ('http://dbpedia.org/resource/The_Primal_Scream', 0.007701405789703131)]]",[]
83,Which poet wrote the most books?,"[[('http://dbpedia.org/resource/Poet', 0.011690235696732998), ('http://dbpedia.org/resource/Poet_laureate', 0.01168917492032051), ('http://dbpedia.org/resource/National_poet', 0.011688973754644394), ('http://dbpedia.org/resource/Poet_Laureate_of_the_United_Kingdom', 0.011688696220517159), ('http://dbpedia.org/resource/United_States_Poet_Laureate', 0.011688672937452793)]]",[]
84,Which professional surfers were born in Australia?,"[[('http://dbpedia.org/resource/Australia', 0.04015239328145981), ('http://dbpedia.org/resource/South_Australia', 0.040146857500076294), ('http://dbpedia.org/resource/Victoria_(Australia)', 0.04014682397246361), ('http://dbpedia.org/resource/Liberal_Party_of_Australia_(Western_Australian_Division)', 0.023787397891283035), ('http://dbpedia.org/resource/South_Australia_Australian_rules_football_team', 0.023785581812262535)]]",[]
85,Which professional surfers were born on the Philippines?,"[[('http://dbpedia.org/resource/Philippines', 0.025251105427742004), ('http://dbpedia.org/resource/Commonwealth_of_the_Philippines', 0.025248058140277863), ('http://dbpedia.org/resource/University_of_the_Philippines', 0.02524804323911667), ('http://dbpedia.org/resource/President_of_the_Philippines', 0.0252478439360857), ('http://dbpedia.org/resource/Catholic_Church_in_the_Philippines', 0.02524779736995697)], [('http://dbpedia.org/resource/List_of_surfers', 0.013536369428038597), ('http://dbpedia.org/resource/Christian_Surfers', 0.013536063022911549), ('http://dbpedia.org/resource/Satanic_Surfers', 0.013535672798752785), ('http://dbpedia.org/resource/G-Surfers', 0.013535660691559315), ('http://dbpedia.org/resource/Living_in_the_Heart_of_the_Beast_(Kalahari_Surfers)', 0.008023545145988464)]]",[]
86,Which rivers flow into the North Sea?,"[[('http://dbpedia.org/resource/North_Sea', 0.0113146947696805), ('http://dbpedia.org/resource/North_Sea_Empire', 0.011313410475850105), ('http://dbpedia.org/resource/Coastline_of_the_North_Sea', 0.011313346214592457), ('http://dbpedia.org/resource/Geography_of_the_North_Sea', 0.011313190683722496), ('http://dbpedia.org/resource/History_of_the_North_Sea', 0.011313100345432758)]]",[]
87,Which software has been published by Mean Hamster Software?,"[[('http://dbpedia.org/resource/Mean_Hamster_Software', 0.4580640196800232), ('http://dbpedia.org/resource/John_Swiderski', 0.27065110206604004)]]",[]
88,Which subsidiary of TUI Travel serves both Glasgow and Dublin?,"[[('http://dbpedia.org/resource/Dublin', 0.01433232706040144), ('http://dbpedia.org/resource/Dublin_Airport', 0.014331289567053318), ('http://dbpedia.org/resource/County_Dublin', 0.014331149868667126), ('http://dbpedia.org/resource/Dublin_Bus', 0.014330999925732613), ('http://dbpedia.org/resource/Dublin,_Virginia', 0.014330985955893993)], [('http://dbpedia.org/resource/Glasgow', 0.020687449723482132), ('http://dbpedia.org/resource/Glasgow_Airport', 0.02068590559065342), ('http://dbpedia.org/resource/Port_Glasgow', 0.020685618743300438), ('http://dbpedia.org/resource/Glasgow_Prestwick_Airport', 0.02068549208343029), ('http://dbpedia.org/resource/Glasgow,_Kentucky', 0.020685354247689247)], [('http://dbpedia.org/resource/TUI_Travel', 0.011271451599895954), ('http://dbpedia.org/resource/TUI_Group', 0.011271294206380844), ('http://dbpedia.org/resource/Tumi_Inc.', 0.011270471848547459), ('http://dbpedia.org/resource/First_Choice_(travel_firm)', 0.011270148679614067), ('http://dbpedia.org/resource/', 0.007054432295262814)]]",[]
89,Who are the parents of the wife of Juan Carlos I?,"[[('http://dbpedia.org/resource/Juan_Carlos_I_of_Spain', 0.008142313919961452), ('http://dbpedia.org/resource/Juan_Carlos_Wasmosy', 0.008141581900417805), ('http://dbpedia.org/resource/Juan_Carlos_I_Antarctic_Base', 0.008141472004354), ('http://dbpedia.org/resource/Ancestry_of_Juan_Carlos_I_of_Spain', 0.008141465485095978), ('http://dbpedia.org/resource/Charles_IV_of_Spain', 0.008141456171870232)]]",[]
90,Who created English Wikipedia?,"[[('http://dbpedia.org/resource/Wikipedia', 0.007955638691782951), ('http://dbpedia.org/resource/English_Wikipedia', 0.00795466173440218), ('http://dbpedia.org/resource/Slovene_Wikipedia', 0.007954535074532032), ('http://dbpedia.org/resource/Spanish_Wikipedia', 0.007954508997499943), ('http://dbpedia.org/resource/Dutch_Wikipedia', 0.00795450434088707)]]",[]
91,Who does the voice of Bart Simpson?,"[[('http://dbpedia.org/resource/Bart_Simpson', 0.007632225751876831), ('http://dbpedia.org/resource/The_Simpsons', 0.007631463464349508), ('http://dbpedia.org/resource/Lisa_Simpson', 0.007631379645317793), ('http://dbpedia.org/resource/Simpson_family', 0.007631347514688969), ('http://dbpedia.org/resource/Bart_Simpson_(filmmaker)', 0.007631221320480108)]]",[]
92,Who founded Intel?,"[[('http://dbpedia.org/resource/Intel', 0.00850321352481842), ('http://dbpedia.org/resource/Intel_Atom', 0.008502312004566193), ('http://dbpedia.org/resource/Intel_Capital', 0.008502133190631866), ('http://dbpedia.org/resource/Intel_GMA', 0.008502034470438957), ('http://dbpedia.org/resource/Intel_Core', 0.008501984179019928)]]",[]
93,Who is the author of WikiLeaks?,"[[('http://dbpedia.org/resource/WikiLeaks', 0.019178874790668488), ('http://dbpedia.org/resource/List_of_material_published_by_WikiLeaks', 0.01917620375752449), ('http://dbpedia.org/resource/The_Wikileaks_Party', 0.01917612925171852), ('http://dbpedia.org/resource/Democratic_National_Committee_v._Russia,_Guccifer,_Assange,_WikiLeaks,_Trump_et_al', 0.011367193423211575), ('http://dbpedia.org/resource/Bank_Julius_Baer_&_Co._Ltd._et_al_v._Wikileaks_et_al', 0.011366806924343109)]]",[]
94,Who is the daughter of Bill Clinton married to?,"[[('http://dbpedia.org/resource/Bill_Clinton', 0.008350471965968609), ('http://dbpedia.org/resource/Presidency_of_Bill_Clinton', 0.00834925938397646), ('http://dbpedia.org/resource/Post-presidency_of_Bill_Clinton', 0.008349072188138962), ('http://dbpedia.org/resource/Chelsea_Clinton', 0.008348854258656502), ('http://dbpedia.org/resource/Bill_Clinton_presidential_campaign,_1992', 0.008348851464688778)]]",[]
95,Who is the daughter of Robert Kennedy married to?,"[[('http://dbpedia.org/resource/Robert_F._Kennedy', 0.007769306190311909), ('http://dbpedia.org/resource/Robert_B._Kennedy', 0.007769087329506874), ('http://dbpedia.org/resource/Robert_D._Kennedy', 0.007769070100039244), ('http://dbpedia.org/resource/Robert_Kennedy_(Jesuit)', 0.007769004441797733), ('http://dbpedia.org/resource/Robert_Kennedy_(publisher)', 0.007768929470330477)]]",[]
96,Who is the governor of Texas?,"[[('http://dbpedia.org/resource/Texas', 0.01976904831826687), ('http://dbpedia.org/resource/Austin,_Texas', 0.019767574965953827), ('http://dbpedia.org/resource/University_of_Texas_at_Austin', 0.01976708509027958), ('http://dbpedia.org/resource/Tyler,_Texas', 0.019766686484217644), ('http://dbpedia.org/resource/Texas_City,_Texas', 0.019766679033637047)]]",[]
97,Who is the husband of Amanda Palmer?,"[[('http://dbpedia.org/resource/Amanda_Palmer', 0.02693171799182892), ('http://dbpedia.org/resource/You_Got_Me_Singing', 0.0162406787276268), ('http://dbpedia.org/resource/The_Art_of_Asking', 0.015964031219482422), ('http://dbpedia.org/resource/When_the_Day_Breaks', 0.015963753685355186), ('http://dbpedia.org/resource/Freemoore', 0.015963636338710785)]]",[]
98,Who is the mayor of Berlin?,"[[('http://dbpedia.org/resource/Berlin', 0.016024624928832054), ('http://dbpedia.org/resource/Berlin,_New_Hampshire', 0.016022926196455956), ('http://dbpedia.org/resource/Berlin,_Wisconsin', 0.016022654250264168), ('http://dbpedia.org/resource/East_Berlin', 0.01602262631058693), ('http://dbpedia.org/resource/Berlin_(band)', 0.016022546216845512)]]",[]
99,Who is the novelist of the work a song of ice and fire?,"[[('http://dbpedia.org/resource/A_Song_of_Ice_and_Fire', 0.0102902352809906), ('http://dbpedia.org/resource/A_Song_of_Ice_and_Fire_Roleplaying', 0.010289356112480164), ('http://dbpedia.org/resource/A_Dance_with_Dragons', 0.010289284400641918), ('http://dbpedia.org/resource/A_Storm_of_Swords', 0.010289174504578114), ('http://dbpedia.org/resource/Works_based_on_A_Song_of_Ice_and_Fire', 0.010289151221513748)]]",[]
100,Who is the youngest player in the Premier League?,"[[('http://dbpedia.org/resource/Premier_League', 0.009733498096466064), ('http://dbpedia.org/resource/Azerbaijan_Premier_League', 0.009732997044920921), ('http://dbpedia.org/resource/Iraqi_Premier_League', 0.009732983075082302), ('http://dbpedia.org/resource/Northern_Premier_League', 0.009732943028211594), ('http://dbpedia.org/resource/Canadian_Premier_League', 0.009732904843986034)]]",[]
101,Who owns Aldi?,"[[('http://dbpedia.org/resource/Aldi', 0.009233247488737106), ('http://dbpedia.org/resource/Aldi_Talk', 0.009232060052454472), ('http://dbpedia.org/resource/Albi', 0.009231995791196823), ('http://dbpedia.org/resource/ALDI_Einkauf_GmbH_&_Compagnie,_oHG', 0.005471713840961456), ('http://dbpedia.org/resource/Aldi_Einkauf_GmbH_&_Compagnie,_oHG', 0.005471713840961456)]]",[]
102,Who painted The Storm on the Sea of Galilee?,"[[('http://dbpedia.org/resource/The_Storm_on_the_Sea_of_Galilee', 0.2526693046092987), ('http://dbpedia.org/resource/Christ_in_the_Storm_on_the_Sea_of_Galilee', 0.1496460884809494), ('http://dbpedia.org/resource/Storm_on_the_Sea_of_Galilee', 0.14964565634727478), ('http://dbpedia.org/resource/Galilei_Donna', 0.1494876593351364), ('http://dbpedia.org/resource/The_Sons_of_Eilaboun', 0.14924509823322296)]]",[]
103,Who was Tom Hanks married to?,"[[('http://dbpedia.org/resource/Tom_Hanks', 0.008442580699920654), ('http://dbpedia.org/resource/Colin_Hanks', 0.00844151433557272), ('http://dbpedia.org/resource/Jim_Hanks', 0.008441392332315445), (""http://dbpedia.org/resource/Volcano,_I'm_Still_Excited!!"", 0.005041080992668867), ('http://dbpedia.org/resource/A_Hologram_for_the_King', 0.005005184095352888)]]",[]
104,Who was called Rodzilla?,"[[('http://dbpedia.org/resource/Rodzilla', 0.008626704104244709), ('http://dbpedia.org/resource/Himalayan_Queen_Express', 0.0051248339004814625), ('http://dbpedia.org/resource/Khan_Bahadur_Khan_Rohilla', 0.005114012397825718), ('http://dbpedia.org/resource/More_Machine_Than_Man', 0.005113983992487192), ('http://dbpedia.org/resource/Chhindwara_-_Delhi_Sarai_Rohilla_Express', 0.00511392205953598)]]",[]
105,Who was influenced by Socrates?,"[[('http://dbpedia.org/resource/Socrates', 0.0078047700226306915), ('http://dbpedia.org/resource/Socrates_of_Constantinople', 0.00780388293787837), ('http://dbpedia.org/resource/Socrates_the_Younger', 0.007803870365023613), ('http://dbpedia.org/resource/Socrates_(Voltaire)', 0.007803775370121002), ('http://dbpedia.org/resource/Socrates_of_Achaea', 0.007803676649928093)]]",[]
106,Who was on the Apollo 11 mission?,"[[('http://dbpedia.org/resource/Apollo_11', 0.007619393058121204), ('http://dbpedia.org/resource/Apollo_10', 0.007618781644850969), ('http://dbpedia.org/resource/Apollo_12', 0.007618651259690523), ('http://dbpedia.org/resource/Apollo_21', 0.0076185595244169235), ('http://dbpedia.org/resource/List_of_Apollo_missions', 0.007618383038789034)]]",[]
107,Who was the father of Queen Elizabeth II?,"[[('http://dbpedia.org/resource/Elizabeth_II', 0.008790241554379463), ('http://dbpedia.org/resource/Coronation_of_Queen_Elizabeth_II', 0.008788484148681164), ('http://dbpedia.org/resource/States_headed_by_Elizabeth_II', 0.008788405917584896), ('http://dbpedia.org/resource/Queen_Elizabeth_II_Reservoir', 0.008788217790424824), ('http://dbpedia.org/resource/List_of_viceregal_representatives_of_Elizabeth_II', 0.008788110688328743)]]",[]
108,Who was the wife of President Lincoln?,"[[('http://dbpedia.org/resource/Abraham_Lincoln', 0.007266074884682894), ('http://dbpedia.org/resource/Presidency_of_Abraham_Lincoln', 0.0072654546238482), ('http://dbpedia.org/resource/Theodore_Roosevelt', 0.007265240419656038), ('http://dbpedia.org/resource/Thomas_Lincoln', 0.007265239488333464), ('http://dbpedia.org/resource/Robert_Todd_Lincoln', 0.007265146821737289)]]",[]
109,Who were the parents of Queen Victoria?,"[[('http://dbpedia.org/resource/Queen_Victoria', 0.00871291197836399), ('http://dbpedia.org/resource/The_Queen_Victoria', 0.008711924776434898), ('http://dbpedia.org/resource/Coronation_of_Queen_Victoria', 0.00871176179498434), ('http://dbpedia.org/resource/MS_Queen_Victoria', 0.008711596950888634), ('http://dbpedia.org/resource/List_of_Prime_Ministers_of_Queen_Victoria', 0.008711530826985836)]]",[]
110,Who wrote Harry Potter?,"[[('http://dbpedia.org/resource/Harry_Potter', 0.007999539375305176), ('http://dbpedia.org/resource/Harry_and_the_Potters', 0.0079991165548563), ('http://dbpedia.org/resource/Harry_Potter_(character)', 0.007999102585017681), ('http://dbpedia.org/resource/Harry_Potter_(journalist)', 0.007999020628631115), ('http://dbpedia.org/resource/Harry_Potter_(film_series)', 0.007998768240213394)]]",[]
